,цена,особенность,время в полете,время вылета,время посадки,дата вылета,день недели вылета,дата посадки,день недели посадки,авиакомпании,время парсинга
0,59014,Оптимальный,11ч 25м,14:05,10:30,15авг,чт,16авг,пт,['S7 Airlines'],2024-08-08 17:48:56.267714
1,46482,Самый дешёвый,1д 15ч,12:50,12:50,15авг,чт,17авг,сб,['S7 Airlines'],2024-08-08 17:48:56.267714
2,80576,Единственный прямой,15ч 55м,11:40,12:35,15авг,чт,16авг,пт,['Уральские авиалинии'],2024-08-08 17:48:56.267714
3,69448,Самый дешёвый с удобной пересадкой,11ч 50м,12:35,09:25,15авг,чт,16авг,пт,['S7 Airlines'],2024-08-08 17:48:56.267714
4,46482,отсутствует,1д 15ч,12:50,12:50,15авг,чт,17авг,сб,['S7 Airlines'],2024-08-08 17:48:56.267714
5,46482,отсутствует,1д 15ч,12:50,12:50,15авг,чт,17авг,сб,['S7 Airlines'],2024-08-08 17:48:56.267714
6,46482,отсутствует,1д 15ч,12:50,12:50,15авг,чт,17авг,сб,['S7 Airlines'],2024-08-08 17:48:56.267714
7,46482,отсутствует,1д 15ч,12:50,12:50,15авг,чт,17авг,сб,['S7 Airlines'],2024-08-08 17:48:56.267714
8,46482,отсутствует,1д 15ч,12:50,12:50,15авг,чт,17авг,сб,['S7 Airlines'],2024-08-08 17:48:56.267714
9,49802,отсутствует,1д 7ч 15м,20:35,12:50,15авг,чт,17авг,сб,['S7 Airlines'],2024-08-08 17:48:56.267714
